Scheme,RunLabel,Parameter,NoiseLevel,TPR,FNR,Detected,Missed,Total
Undetectable,undetectable_lam5.0,lambda=5.0,0.0,0.78,0.22,78,22,100
Undetectable,undetectable_lam5.0,lambda=5.0,0.05,0.01,0.99,1,99,100
Undetectable,undetectable_lam5.0,lambda=5.0,0.1,0.02,0.98,2,98,100
Undetectable,undetectable_lam5.0,lambda=5.0,0.15,0.01,0.99,1,99,100
Undetectable,undetectable_lam5.0,lambda=5.0,0.2,0.03,0.97,3,97,100
Undetectable,undetectable_lam5.0,lambda=5.0,0.25,0.02,0.98,2,98,100
Undetectable,undetectable_lam5.0,lambda=5.0,0.3,0.01,0.99,1,99,100
Undetectable,undetectable_lam5.0,lambda=5.0,0.35,0.01,0.99,1,99,100
Undetectable,undetectable_lam5.0,lambda=5.0,0.4,0.03,0.97,3,97,100
Undetectable,undetectable_lam5.0,lambda=5.0,0.45,0.0,1.0,0,100,100
Undetectable,undetectable_lam5.0,lambda=5.0,0.5,0.0,1.0,0,100,100
Undetectable,undetectable_lam5.0,lambda=5.0,0.55,0.01,0.99,1,99,100
Undetectable,undetectable_lam5.0,lambda=5.0,0.6,0.0,1.0,0,100,100
Undetectable,undetectable_lam5.0,lambda=5.0,0.65,0.02,0.98,2,98,100
Undetectable,undetectable_lam5.0,lambda=5.0,0.7,0.01,0.99,1,99,100
Undetectable,undetectable_lam5.0,lambda=5.0,0.75,0.0,1.0,0,100,100
Undetectable,undetectable_lam5.0,lambda=5.0,0.8,0.01,0.99,1,99,100
Undetectable,undetectable_lam5.0,lambda=5.0,0.85,0.01,0.99,1,99,100
Undetectable,undetectable_lam5.0,lambda=5.0,0.9,0.0,1.0,0,100,100
Undetectable,undetectable_lam5.0,lambda=5.0,0.95,0.0,1.0,0,100,100
Undetectable,undetectable_lam5.0,lambda=5.0,1.0,0.0,1.0,0,100,100
