Scheme,RunLabel,Parameter,NoiseLevel,TPR,FNR,Detected,Missed,Total
PRC,prc_c4_s100_t150,n=2048;g=128;t=1;r=2028;eta=0.005;zeta=0.045,0.0,0.93,0.07,93,7,100
PRC,prc_c4_s100_t150,n=2048;g=128;t=1;r=2028;eta=0.005;zeta=0.045,0.05,0.68,0.32,68,32,100
PRC,prc_c4_s100_t150,n=2048;g=128;t=1;r=2028;eta=0.005;zeta=0.045,0.1,0.62,0.38,62,38,100
PRC,prc_c4_s100_t150,n=2048;g=128;t=1;r=2028;eta=0.005;zeta=0.045,0.15,0.58,0.42,58,42,100
PRC,prc_c4_s100_t150,n=2048;g=128;t=1;r=2028;eta=0.005;zeta=0.045,0.2,0.53,0.47,53,47,100
PRC,prc_c4_s100_t150,n=2048;g=128;t=1;r=2028;eta=0.005;zeta=0.045,0.25,0.53,0.47,53,47,100
PRC,prc_c4_s100_t150,n=2048;g=128;t=1;r=2028;eta=0.005;zeta=0.045,0.3,0.41,0.59,41,59,100
PRC,prc_c4_s100_t150,n=2048;g=128;t=1;r=2028;eta=0.005;zeta=0.045,0.35,0.37,0.63,37,63,100
PRC,prc_c4_s100_t150,n=2048;g=128;t=1;r=2028;eta=0.005;zeta=0.045,0.4,0.3,0.7,30,70,100
PRC,prc_c4_s100_t150,n=2048;g=128;t=1;r=2028;eta=0.005;zeta=0.045,0.45,0.26,0.74,26,74,100
PRC,prc_c4_s100_t150,n=2048;g=128;t=1;r=2028;eta=0.005;zeta=0.045,0.5,0.26,0.74,26,74,100
PRC,prc_c4_s100_t150,n=2048;g=128;t=1;r=2028;eta=0.005;zeta=0.045,0.55,0.16,0.84,16,84,100
PRC,prc_c4_s100_t150,n=2048;g=128;t=1;r=2028;eta=0.005;zeta=0.045,0.6,0.14,0.86,14,86,100
PRC,prc_c4_s100_t150,n=2048;g=128;t=1;r=2028;eta=0.005;zeta=0.045,0.65,0.12,0.88,12,88,100
PRC,prc_c4_s100_t150,n=2048;g=128;t=1;r=2028;eta=0.005;zeta=0.045,0.7,0.09,0.91,9,91,100
PRC,prc_c4_s100_t150,n=2048;g=128;t=1;r=2028;eta=0.005;zeta=0.045,0.75,0.09,0.91,9,91,100
PRC,prc_c4_s100_t150,n=2048;g=128;t=1;r=2028;eta=0.005;zeta=0.045,0.8,0.05,0.95,5,95,100
PRC,prc_c4_s100_t150,n=2048;g=128;t=1;r=2028;eta=0.005;zeta=0.045,0.85,0.04,0.96,4,96,100
PRC,prc_c4_s100_t150,n=2048;g=128;t=1;r=2028;eta=0.005;zeta=0.045,0.9,0.07,0.93,7,93,100
PRC,prc_c4_s100_t150,n=2048;g=128;t=1;r=2028;eta=0.005;zeta=0.045,0.95,0.05,0.95,5,95,100
PRC,prc_c4_s100_t150,n=2048;g=128;t=1;r=2028;eta=0.005;zeta=0.045,1.0,0.04,0.96,4,96,100
